parametres,methode_reduction,kernel,accuracy_train,accuracy_test,duree
Par défaut,ACP,linear,0.9203980099502488,0.8208955223880597,0.8176517486572266
Par défaut,ACP,rbf,0.9154228855721394,0.8656716417910447,0.006023406982421875
Par défaut,NMF,linear,0.900497512437811,0.8507462686567164,0.003989219665527344
Par défaut,NMF,rbf,0.9303482587064676,0.835820895522388,0.004982471466064453
Par défaut,No Reduction,linear,1.0,0.8805970149253731,0.7270474433898926
Par défaut,No Reduction,rbf,0.9253731343283582,0.8507462686567164,0.9868876934051514
Best estimator ACP and No Reduction,ACP,linear,0.9203980099502488,0.8059701492537313,0.06936812400817871
Best estimator ACP and No Reduction,NMF,linear,0.9104477611940298,0.8059701492537313,0.0029916763305664062
Best estimator ACP and No Reduction,No Reduction,linear,1.0,0.8805970149253731,0.7380261421203613
Best estimator NMF,ACP,rbf,1.0,0.47761194029850745,0.014517068862915039
Best estimator NMF,NMF,rbf,0.9253731343283582,0.8059701492537313,0.00498652458190918
Best estimator NMF,No Reduction,rbf,1.0,0.47761194029850745,1.3454017639160156
